3947	277	0.0469563
3947	449	0.0479979
3947	4617	0.0505621
3947	1100	0.0563313
3947	3888	0.0591091
3947	543	0.0521646
3947	3788	0.0513313
3947	1870	0.0625813
3947	3651	0.045617
3947	2290	0.0551408
3947	2042	0.060743
3947	1000	0.0513313
3947	2296	0.0540586
3947	4923	0.0576471
3947	3501	0.0530704
3947	2687	0.0576471
3947	1849	0.0646646
3947	3345	0.0646646
3947	2072	0.0625813
3947	210	0.0498498
3947	2912	0.0591091
3947	2270	0.0530704
3947	1454	0.0576471
3947	1463	0.0591091
3947	2378	0.0576471
3947	4897	0.060743
4014	3210	0.0682389
3947	2115	0.060743
3947	4739	0.0530704
3947	5189	0.0646646
3947	4805	0.0563313
3947	1958	0.0576471
3947	1465	0.0591091
3947	615	0.0591091
3947	4241	0.0591091
3947	1883	0.0576471
3947	4686	0.0646646
3947	1990	0.0563313
3947	2302	0.0697928
3947	1688	0.0646646
3947	2846	0.0625813
3947	4364	0.0464828
3947	1330	0.0646646
3947	736	0.0697928
3947	482	0.0697928
3947	989	0.0551408
3947	250	0.0646646
3947	4238	0.0551408
3947	4892	0.0551408
3947	4871	0.0563313
